post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Wed Sep 04 16:39:17 +0000 2019,"The fact that a quarter of the kids born on the planet don’t get the right food to develop is a mind-blowing tragedy. 

Our growing understanding of the microbiome will make this problem #solvable: https://t.co/IUI8I6EKxi https://t.co/fIf97bjwqL",1617,1,2,1,1,0,16,1,fact quarter kids born planet dont get right food develop mindblowing tragedy growing understanding microbiome make problem solvable,-0.7506,0.071,0.63,0.298
Sun Sep 01 12:00:01 +0000 2019,"Climate change is one of the toughest challenges facing the world. But don’t despair…

Scientists and entrepreneurs are working on some innovative solutions. Here are four that I’m excited about: https://t.co/WKwW0PccbI https://t.co/KEdegq2V0A",1403,1,2,1,1,0,12,0,climate change toughest challenges facing world dont despair scientists entrepreneurs working innovative solutions four excited,0.7883,0.499,0.438,0.063
Sat Aug 31 17:05:23 +0000 2019,"Manufacturing steel is one of the largest sources of greenhouse gas emissions. Boston Metal is working to change this, and I’m excited about their approach: https://t.co/3xp7NCHPio https://t.co/RPX6TEy3J2",1132,1,2,1,1,0,17,0,manufacturing steel largest sources greenhouse gas emissions boston metal working change excited approach,0.34,0.167,0.833,0.0
Fri Aug 30 11:54:00 +0000 2019,"Tuberculosis is still the leading infectious cause of death worldwide. To #EndTB, we need to continue to develop safer and simpler solutions. The FDA’s approval of a new treatment is a promising step in the right direction. https://t.co/dJQapVKgjW",992,1,1,0,1,0,11,1,tuberculosis still leading infectious cause death worldwide endtb need continue develop safer simpler solutions fdas approval new treatment promising step right direction,0.6597,0.33,0.545,0.125
Tue Aug 27 18:59:00 +0000 2019,"Whenever I hear an idea for what we can do to keep global warming in check, I always ask this question: “What’s your plan for steel?” 

I know it sounds like an odd thing to say, but it opens the door to a very important subject. https://t.co/Oo20WYmkAZ",1885,1,1,0,1,0,18,0,whenever hear idea keep global warming check always ask question whats plan steel know sounds like odd thing say opens door important subject,0.3818,0.217,0.699,0.085
Tue Aug 27 08:06:35 +0000 2019,"Germany, Italy, and the European Commission have demonstrated great leadership with their commitments to the @GlobalFund. Thank you @BMZ_Bund, @GiuseppeConteIT and @EU_Commission. Your pledges will help protect the world’s most vulnerable from #AIDS, #TB, and #malaria. https://t.co/gfu5ovysf2",836,1,1,0,1,0,8,3,germany italy european commission demonstrated great leadership commitments globalfund thank bmzbund giuseppeconteit eucommission pledges help protect worlds vulnerable aids tb malaria,0.8885,0.442,0.495,0.063
Mon Aug 26 21:35:00 +0000 2019,"When I think about the world I want for my children, I know that #EqualityCantWait. When women and men can reach their full potential, everyone benefits: https://t.co/Yo2Ru84nBx",1036,1,1,0,1,0,21,1,think world want children know equalitycantwait women men reach full potential everyone benefits,0.4588,0.333,0.667,0.0
Fri Aug 23 21:29:27 +0000 2019,"Canada’s $930 million commitment to the @GlobalFund is a big step towards saving millions of lives. Their pledge, and the commitments of other countries, are helping to #StepUpTheFight against AIDS, tuberculosis, and malaria. https://t.co/wo4aKpQQ72",698,1,1,0,1,0,21,1,canadas 930 million commitment globalfund big step towards saving millions lives pledge commitments countries helping stepupthefight aids tuberculosis malaria,0.6486,0.283,0.717,0.0
Thu Aug 22 12:00:01 +0000 2019,"If we want to give our kids the best chance possible to succeed after high school, we need more teachers like @_MrHand: https://t.co/GxtYKlRH0u https://t.co/vqEtVG8XJF",530,1,2,1,1,0,12,0,want give kids best chance possible succeed high school need teachers like mrhand,0.9042,0.623,0.377,0.0
Wed Aug 21 17:14:01 +0000 2019,Today marks three years since Nigeria's last wild poliovirus case. This progress wouldn’t have been possible without the bravery of the young women who volunteer as polio vaccinators. https://t.co/Nmn2PoN5dv,2127,1,1,0,1,0,17,0,today marks three years since nigerias last wild poliovirus case progress wouldnt possible without bravery young women volunteer polio vaccinators,0.613,0.218,0.782,0.0
Tue Aug 20 03:04:34 +0000 2019,"Tomorrow is #WorldMosquitoDay, when we recognize all of our partners and grantees who are fighting against the world’s deadliest animal and the diseases it spreads: https://t.co/RlZ2PlXt7V https://t.co/aIj2I5V16h",1338,1,2,1,1,0,3,1,tomorrow worldmosquitoday recognize partners grantees fighting worlds deadliest animal diseases spreads,-0.3612,0.0,0.8,0.2
