post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Mon Feb 04 16:52:00 +0000 2019,RT @LaurenGoode: Google’s newest apps offer live transcriptions and sound amplification for the deaf and hard-of-hearing. While the apps wo…,183,1,1,0,1,0,16,0,rt laurengoode googles newest apps offer live transcriptions sound amplification deaf hardofhearing apps wo,0.0,0.0,1.0,0.0
Fri Feb 01 19:16:13 +0000 2019,🦉😉 https://t.co/CWtsZtqLU0,413,1,1,0,1,0,19,0,,0.0,0.0,0.0,0.0
Fri Jan 25 23:03:11 +0000 2019,Glad the transmission was received:) See you at Shoreline Amphitheatre May 7-9 for this year's I/O! #io19 https://t.co/CXWpQR4Eza,1176,1,2,1,1,0,23,1,glad transmission received see shoreline amphitheatre may 79 years io io19,0.4588,0.231,0.769,0.0
Tue Jan 22 23:36:42 +0000 2019,Thrilled to celebrate the opening of our new #Berlin office! (And shout out to Berlin-based artist Roman Lipski for his cool mural created with the help of #AI) https://t.co/EKH797cMEK,274,1,2,1,1,0,23,2,thrilled celebrate opening new berlin office shout berlinbased artist roman lipski cool mural created help ai,0.9118,0.553,0.447,0.0
Tue Jan 22 18:46:03 +0000 2019,"So happy to be back in Germany! First stop was a chat with the students @TUBerlin about AI and responsible innovation. Thanks so much for having me, and for all of your thoughtful questions - sorry we didn't have time to get to all 300 of them!:) https://t.co/FF7ca72IaK",329,1,2,1,1,0,18,0,happy back germany first stop chat students tuberlin ai responsible innovation thanks much thoughtful questions sorry didnt time get 300,0.891,0.461,0.425,0.114
Mon Jan 21 22:12:47 +0000 2019,"Great discussion with leaders from across Central &amp; Eastern Europe about the region’s potential as Digital Challengers. Google is committed to supporting them: we're investing $20M by 2020 in programs &amp; training to help people grow their skills, careers and businesses. https://t.co/UpJxUuYD5L",333,1,2,1,1,0,22,0,great discussion leaders across central amp eastern europe regions potential digital challengers google committed supporting investing 20m 2020 programs amp training help people grow skills careers businesses,0.9042,0.375,0.625,0.0
Mon Jan 21 15:49:14 +0000 2019,"@PremierRP @MorawieckiM @Google Thank you Prime Minister @MorawieckiM for our discussion about the opportunities that technology brings, and how we can work together to ensure that it serves everyone",24,1,1,0,1,0,15,0,premierrp morawieckim google thank prime minister morawieckim discussion opportunities technology brings work together ensure serves everyone,0.7717,0.372,0.628,0.0
Mon Jan 21 15:12:12 +0000 2019,"Today our doodle honors the life and work of Dr. Martin Luther King, Jr. Special thanks to guest artist Xia Gordon (@carefulblackgrl) for her beautiful artwork. #MLKDay https://t.co/5zkJGrwRtW",272,1,1,0,1,0,15,1,today doodle honors life work dr martin luther king jr special thanks guest artist xia gordon carefulblackgrl beautiful artwork mlkday,0.9153,0.444,0.556,0.0
Wed Jan 16 05:23:25 +0000 2019,Great summary of our Research and AI work in 2018 from @JeffDean and @GoogleAI https://t.co/dunp1pQzeQ,202,1,1,0,1,0,5,0,great summary research ai work 2018 jeffdean googleai,0.6249,0.369,0.631,0.0
Tue Jan 08 05:27:36 +0000 2019,So great to have @JimmyFallon @KermitTheFrog @MandyRheaWrites as our guest judges for #DoodleForGoogle this year! Also check out 2018 US winner 1st grader Sarah Gomez-Lane's doodle live on our homepage right now:) https://t.co/JXKR1qYoK7,113,1,1,0,1,0,5,1,great jimmyfallon kermitthefrog mandyrheawrites guest judges doodleforgoogle year also check 2018 us winner 1st grader sarah gomezlanes doodle live homepage right,0.836,0.294,0.706,0.0
Mon Jan 07 07:28:32 +0000 2019,"Nice in depth look from the Times on @demishassabis and @DeepMindAI effort, excited at the progress around AlphaZero and AlphaFold! https://t.co/AkLqlvLUnl",220,1,1,0,1,0,7,0,nice depth look times demishassabis deepmindai effort excited progress around alphazero alphafold,0.7906,0.471,0.529,0.0
Thu Dec 20 19:24:27 +0000 2018,"The First Step Act is an important moment in reforming our criminal justice system to ensure it’s equal, consistent and fair for everyone. Google &amp; @googleorg have long backed efforts to improve the system - more to be done, but encouraging news! https://t.co/JVdz3hS1Sz",220,1,1,0,1,0,19,0,first step act important moment reforming criminal justice system ensure equal consistent fair everyone google amp googleorg long backed efforts improve system done encouraging news,0.9022,0.462,0.449,0.09
Thu Dec 13 20:54:21 +0000 2018,"In Sept, a fire struck the National Museum of Brazil, home to one of the largest collections of natural history in the world. An estimated 20M pieces were lost. Through partnership w/ @MuseuNacional, we’re proud to help bring the lost collection online https://t.co/LuANOZ6us0",293,1,1,0,1,0,20,0,sept fire struck national museum brazil home largest collections natural history world estimated 20m pieces lost partnership w museunacional proud help bring lost collection online,0.0772,0.242,0.496,0.262
Wed Dec 12 08:05:31 +0000 2018,"In a year of ups and downs, the world searched for ""good"" more than ever before. Here’s to all the good moments from 2018 and all the people who searched for them. #YearInSearch https://t.co/hj2FnX4mR4",1460,1,1,0,1,0,8,1,year ups downs world searched good ever heres good moments 2018 people searched yearinsearch,0.7003,0.326,0.674,0.0
Wed Dec 05 03:51:00 +0000 2018,"RT @Jacqfuller: With @GoogleOrg's $2M grant, @TLM will expand their program to prepare incarcerated individuals for successful re-entry to…",48,1,1,0,1,0,3,0,rt jacqfuller googleorgs 2m grant tlm expand program prepare incarcerated individuals successful reentry,0.8225,0.462,0.538,0.0
Tue Dec 04 02:47:26 +0000 2018,"At Google, our best stuff comes not from 'lone inventors,' but from people working together. Often over coffee or soft-serve. Fortunate to work with Sanjay and @JeffDean https://t.co/1CoXrhuH8v",508,1,1,0,1,0,2,0,google best stuff comes lone inventors people working together often coffee softserve fortunate work sanjay jeffdean,0.7184,0.32,0.586,0.095
Tue Dec 04 01:47:48 +0000 2018,RT @Gizmodo: Google's virtual Vermeer museum is a legitimately cool use of AR https://t.co/7KVOCnBoEG https://t.co/g2ED57GbBM,64,1,2,1,1,0,1,0,rt gizmodo googles virtual vermeer museum legitimately cool use ar,0.3182,0.204,0.796,0.0
Tue Dec 04 00:34:11 +0000 2018,"RT @Google: In our 48-hour hackathon with @AdaptiveDesign, five kids worked with designers and developers to prototype games to make learni…",210,1,1,0,1,0,0,0,rt google 48hour hackathon adaptivedesign five kids worked designers developers prototype games make learni,0.0,0.0,1.0,0.0
Mon Dec 03 22:48:45 +0000 2018,We're proud to support #CSEdWeek and #HourOfCode with #CSFirst activities like this one - happy coding! https://t.co/jOCCnkEK8Q,66,1,1,0,1,0,22,3,proud support csedweek hourofcode csfirst activities like happy coding,0.9001,0.706,0.294,0.0
Mon Dec 03 04:37:14 +0000 2018,Excited to see the progress in such an important area from @DeepMindAI https://t.co/MoSuiEN9JD,165,1,1,0,1,0,4,0,excited see progress important area deepmindai,0.7184,0.7,0.3,0.0
Sun Dec 02 05:55:03 +0000 2018,RT @MollyJongFast: Watching this makes me 20 percent less depressed. https://t.co/moY1EFlFIy,692,1,1,0,1,0,5,0,rt mollyjongfast watching makes 20 percent less depressed,-0.4601,0.0,0.7,0.3
Sun Dec 02 05:54:11 +0000 2018,RT @FCBarcelona: ⬇️ List of players better than Messi 🐐 https://t.co/kFSrZ0868u,31182,1,1,0,1,0,5,0,rt fcbarcelona list players better messi,0.4404,0.367,0.633,0.0
Sat Dec 01 05:25:29 +0000 2018,@georgepbush Sorry for your loss and may his memory be a blessing,17,1,1,0,1,0,5,0,georgepbush sorry loss may memory blessing,0.1531,0.327,0.306,0.367
Sat Dec 01 05:17:26 +0000 2018,Saddened by the passing of President George H.W. Bush. Thank you for your lifetime of tireless service and leadership to our country. RIP,996,1,1,0,1,0,5,0,saddened passing president george hw bush thank lifetime tireless service leadership country rip,-0.2263,0.148,0.651,0.201
Thu Nov 29 15:39:09 +0000 2018,Libraries are hubs for knowledge &amp; learning in every community - thrilled we’re expanding our partnership with @ALALibrary and working with local libraries to provide #GrowWithGoogle digital skills training across the US. https://t.co/ACLuezqsCh,415,1,1,0,1,0,15,1,libraries hubs knowledge amp learning every community thrilled expanding partnership alalibrary working local libraries provide growwithgoogle digital skills training across us,0.4404,0.127,0.873,0.0
Thu Nov 22 21:46:56 +0000 2018,We're thankful for all of the first responders who continue to battle the wildfires in California and help those who were displaced. There's much more to be done and we’ll stay engaged in support of recovery efforts. https://t.co/EQTyVjCUBc,222,1,1,0,1,0,21,0,thankful first responders continue battle wildfires california help displaced theres much done well stay engaged support recovery efforts,0.8834,0.488,0.421,0.091
Tue Nov 13 18:27:53 +0000 2018,RT @demishassabis: We are immensely proud of all the Streams team has achieved. DeepMind will continue to lead the way in fundamental resea…,102,1,1,0,1,0,18,0,rt demishassabis immensely proud streams team achieved deepmind continue lead way fundamental resea,0.4767,0.205,0.795,0.0
