post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Wed May 22 20:31:01 +0000 2019,"This #RedNoseDay, I’m swapping out my usual summer books for something a little different. Learn how you can help end child poverty, one red nose at a time: https://t.co/8z5vwVqiCB https://t.co/KM8VRG4CHY",674,1,2,1,1,0,20,1,rednoseday swapping usual summer books something little different learn help end child poverty red nose time,-0.2177,0.123,0.709,0.167
Tue May 21 16:42:55 +0000 2019,"Whether you’re a political leader or just an armchair historian, you’ll learn a lot from @BeschlossDC's book “Presidents of War.” https://t.co/YD8sOHXG9l",472,1,1,0,1,0,16,0,whether youre political leader armchair historian youll learn lot beschlossdcs book presidents war,-0.5994,0.0,0.755,0.245
Mon May 20 22:59:06 +0000 2019,This book will take you on a trip you’ll never forget: https://t.co/l4IvTS9AHD https://t.co/mNkg6G9lof,585,1,2,1,1,0,22,0,book take trip youll never forget,0.1695,0.25,0.75,0.0
Mon May 20 17:47:30 +0000 2019,Looking for a summer read? You can’t go wrong with one of these great books: https://t.co/xB82XMnJY9,1371,1,1,0,1,0,17,0,looking summer read cant go wrong great books,-0.1877,0.216,0.506,0.278
Mon May 20 00:43:01 +0000 2019,"This is great news: wind and solar power generation is expanding at record rates, allowing more people to get their electricity from renewable sources than ever before. Here’s how we can move even faster towards a zero-carbon future: https://t.co/dtpxiKGHSb https://t.co/6tAITSZGp3",1727,1,2,1,1,0,0,0,great news wind solar power generation expanding record rates allowing people get electricity renewable sources ever heres move even faster towards zerocarbon future,0.6249,0.157,0.843,0.0
Sun May 19 12:21:00 +0000 2019,"Together, we can achieve what @Rotary first envisioned: a world where no child will be struck with polio ever again. This weekend, I was honored to thank @RotaryRassin and other Rotarians in person for their dedication to the fight against polio. https://t.co/sYNHU7RqGS",683,1,1,0,1,0,12,0,together achieve rotary first envisioned world child struck polio ever weekend honored thank rotaryrassin rotarians person dedication fight polio,0.4019,0.243,0.579,0.178
Fri May 17 14:47:15 +0000 2019,Nearly every job created since the last recession has gone to someone with a post-high school education. But which degrees and programs provide the greatest value? Our foundation is launching a new commission to find out: https://t.co/382oqYQ161 https://t.co/i1JXF0xTzU,872,1,2,1,1,0,14,0,nearly every job created since last recession gone someone posthigh school education degrees programs provide greatest value foundation launching new commission find,0.7003,0.293,0.612,0.095
Thu May 16 19:21:17 +0000 2019,"A college degree is the surest path to a healthy, rewarding life and career. But which degrees and programs provide the greatest value to students? Our foundation CEO @SueDHellmann is co-chairing a new commission to get that data into the hands of more families. https://t.co/0lszyYXPtH",537,1,1,0,1,0,19,0,college degree surest path healthy rewarding life career degrees programs provide greatest value students foundation ceo suedhellmann cochairing new commission get data hands families,0.9325,0.441,0.559,0.0
Wed May 15 21:12:05 +0000 2019,"Everyone at the @gatesfoundation looks forward to days when our trustee Warren is on campus. @melindagates and I couldn’t ask for a better champion for our employees, partners, and grantees. https://t.co/t7vlrjNR6s",697,1,2,1,1,0,21,0,everyone gatesfoundation looks forward days trustee warren campus melindagates couldnt ask better champion employees partners grantees,-0.5502,0.097,0.633,0.27
Wed May 15 18:20:53 +0000 2019,It is surprisingly hard to store renewable energy. Here are three startups I’m excited about that are tackling this challenge: https://t.co/ilUAEa5TVJ https://t.co/PH0bNzRSJ2,895,1,2,1,1,0,18,0,surprisingly hard store renewable energy three startups excited tackling challenge,0.6808,0.556,0.347,0.097
